2025-11-09 22:27:31 | INFO | alejandria | 127.0.0.1 | GET / -> 307 2ms size=0 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='-' user='-'
2025-11-09 22:27:35 | INFO | alejandria | 127.0.0.1 | GET / -> /login.html
2025-11-09 22:27:35 | INFO | alejandria | 127.0.0.1 | GET / -> 307 1ms size=0 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='-' user='-'
2025-11-09 22:27:40 | INFO | alejandria | - | Aplicación Alejandría iniciada
2025-11-09 22:27:42 | INFO | alejandria | 127.0.0.1 | GET / -> /login.html
2025-11-09 22:27:42 | INFO | alejandria | 127.0.0.1 | GET / -> 307 2ms size=0 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='-' user='-'
2025-11-09 22:27:44 | INFO | alejandria | 127.0.0.1 | GET /static/signup.html -> 404 3ms size=22 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/login.html' user='-'
2025-11-09 22:27:44 | INFO | alejandria | 127.0.0.1 | GET /favicon.ico -> 404 2ms size=22 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/static/signup.html' user='-'
2025-11-09 22:27:52 | INFO | alejandria | 127.0.0.1 | GET /static/index.html -> 404 2ms size=22 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/login.html' user='-'
2025-11-09 22:27:52 | INFO | alejandria | 127.0.0.1 | GET /favicon.ico -> 404 1ms size=22 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/static/index.html' user='-'
2025-11-09 22:28:18 | INFO | alejandria | 127.0.0.1 | Serve /signup.html
2025-11-09 22:28:18 | INFO | alejandria | 127.0.0.1 | GET /signup.html -> 200 2ms size=2139 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='-' user='-'
2025-11-09 22:28:18 | INFO | alejandria | 127.0.0.1 | GET /signup.css -> 200 3ms size=2881 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/signup.html' user='-'
2025-11-09 22:28:18 | INFO | alejandria | 127.0.0.1 | GET /favicon.ico -> 404 2ms size=22 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='http://127.0.0.1:5000/signup.html' user='-'
2025-11-09 22:28:40 | INFO | alejandria | 127.0.0.1 | Serve /signup.html
2025-11-09 22:28:40 | INFO | alejandria | 127.0.0.1 | GET /signup.html -> 200 2ms size=2139 ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0' ref='-' user='-'
